timestamp,"type",suggestion
2/22/2021 18:51:35,Feeling,On Fire
2/22/2021 18:53:04,Location,Church
2/22/2021 18:53:14,Something to do,Skiing
2/22/2021 18:53:28,Object,Candlestick
2/22/2021 18:53:35,Object,Horseshoe
2/22/2021 18:53:40,Feeling,Discombobulate 
2/22/2021 18:53:52,Object,Breadbox
2/22/2021 18:54:01,Object,Turkey Baster
2/22/2021 18:54:26,Person,Lawyer
2/22/2021 18:54:33,Person,Doctor
2/22/2021 18:54:42,Person,Mechanic
2/22/2021 18:54:51,Person,Used Car Salesman
2/22/2021 18:54:59,Something to do,Flee
2/22/2021 18:55:12,Person,Timbletizzy the 4th
2/22/2021 18:55:28,Location,The great and powerful hoedown
2/22/2021 18:56:04,Something to do,The parking ticket heist
2/22/2021 18:56:23,Object,The smallest kiln
2/22/2021 18:56:34,Object,One lone penny
2/22/2021 18:57:07,Something to do,Jack's classic barbeque cookoff
2/22/2021 18:57:51,Location,The wild wild east
2/22/2021 18:58:14,Person,Pin-Needle Jones
2/22/2021 18:59:30,Feeling,The overwhelming sense of guilt
2/22/2021 18:59:48,Something to do,Bowling in the bathroom
2/22/2021 19:02:31,Person,Genie Bombini
2/22/2021 19:02:45,Location,Uncle Herb's
2/22/2021 19:03:02,Something to do,Eating copious amounts of peanut butter so you struggle to talk
2/22/2021 19:03:31,Something to do,extreme car repair
2/22/2021 19:03:47,Feeling,J U M B O
2/22/2021 19:05:21,Location,Cuzin' Stuzzy's
2/22/2021 19:05:32,Feeling,Tomato
2/22/2021 19:08:02,Person,Cuzin' Stuzzy
2/22/2021 19:08:17,Location,The Wombat Cave
2/22/2021 19:08:34,Object,A Microphone
2/22/2021 19:08:46,Feeling,Tough
2/22/2021 19:08:58,Something to do,Umbrella Dancing
2/22/2021 19:10:33,Feeling,Hunger
2/22/2021 19:12:03,Person,Yakman
2/22/2021 19:12:17,Feeling,Suppressed Love
2/22/2021 19:12:49,Object,The Fourbear's Blade
2/22/2021 19:13:05,Person,Kid Humble
2/22/2021 19:13:22,Location,Tumbleweed Tavern
2/22/2021 19:13:46,Object,5 Q-Tips
2/22/2021 19:14:43,Person,Jim.
2/22/2021 19:14:54,Feeling,Wonder and Awe
2/22/2021 19:19:41,Person,Chef Davis
2/22/2021 19:20:02,Something to do,Eat Puddin'
2/22/2021 19:19:52,Location,Jello Lake
2/22/2021 19:22:33,Object,Red Solo Cup
2/22/2021 19:22:48,Person,"Fiora, the Fairy Queen"
2/22/2021 19:23:10,Feeling,Opaque
2/22/2021 19:23:50,Something to do,Finding your meaning
2/22/2021 19:24:05,Something to do,Eating cactus
2/22/2021 19:24:44,Person,Gino Dango
2/22/2021 19:25:01,Location,"Location 4, Arizona"
2/22/2021 19:25:47,Object,Intelligent Lizard
2/22/2021 19:26:07,Feeling,Your inner danger
2/22/2021 19:26:35,Something to do,Pimp your ride
2/22/2021 19:26:48,Feeling,Love and War
2/22/2021 19:27:07,Location,Frank's Garage
2/22/2021 19:27:25,Something to do,Fixing the horse
2/22/2021 19:27:51,Object,3rd generation blender
2/22/2021 19:28:13,Person,Juniper Solemn
2/22/2021 19:28:36,Person,The Helmsmasher
2/22/2021 19:29:04,Feeling,Inexplicably Satisfactory
2/22/2021 19:30:46,Feeling,Pure unadulterated anger
2/22/2021 21:06:57,Feeling,Icky
2/22/2021 21:07:26,Location,The bottom of a pit
2/22/2021 21:07:57,Object,Sticky toaster
2/22/2021 21:08:05,Location,Pirate ship
2/22/2021 21:08:23,Location,Castle 
2/22/2021 21:09:26,Location,Parking ramp
2/22/2021 21:09:34,Object,Bees
2/22/2021 21:09:44,Person,Mickey mouse
2/22/2021 21:09:51,Person,Vanna white
2/22/2021 21:10:06,Person,James hoeffler
2/22/2021 21:10:31,Person,The ceo of waffles
2/22/2021 21:10:40,Feeling,Disgruntled 
2/22/2021 21:10:58,Feeling,Godly
2/22/2021 21:11:07,Feeling,Melancholy 
2/22/2021 21:11:19,Feeling,Ecstatic
2/22/2021 21:11:25,Feeling,Anxious
2/22/2021 21:11:42,Feeling,Petrified 
2/22/2021 21:11:50,Something to do,Extreme skiing
2/22/2021 21:12:01,Something to do,Skateboard
2/22/2021 21:12:32,Something to do,Worm walking
2/22/2021 21:12:39,Object,Penguin
2/22/2021 21:12:44,Object,One shoe
2/22/2021 21:12:59,Location,Secret layer 
2/22/2021 21:13:05,Location,Dungeon
2/23/2021 15:21:19,Object,Spoon 
2/23/2021 15:21:29,Location,Prison
2/23/2021 15:21:41,Location,Secret lair
2/23/2021 15:21:52,Feeling,Anxiety